gene,mean_abs_shap,mean_shap_R,mean_shap_NR
FASTK,1.221085820072791e-05,9.801550025606115e-06,1.903723136357298e-05
UPK1A,1.1409537422111796e-05,9.640744223457508e-06,1.642111815163227e-05
AHCYL1,1.087553975877043e-05,8.599043593953795e-06,1.732561222575089e-05
ZIM3,1.0359440844195921e-05,8.985145452856532e-06,1.425327778632419e-05
MED1,9.804234237847104e-06,6.679076380703757e-06,7.981880421728452e-06
FGA,9.659643546119818e-06,8.232238278805553e-06,1.3703958470176906e-05
SCRT1,9.21929658342335e-06,7.92660219207607e-06,1.2881930692240644e-05
CHRNB4,8.78449564215194e-06,7.136287936534336e-06,1.3454417474735153e-05
GBX1,8.740335414872549e-06,8.10541106593102e-06,1.0539287736873543e-05
HSD17B1,8.65733389820979e-06,-5.815070188026415e-06,-1.6710414410396015e-05
TMEM50A,8.656680989315866e-06,6.871483578103934e-06,-4.094527631014905e-06
RPS28,8.547676505354561e-06,6.323020294872683e-06,1.4850869101719892e-05
ZNF639,8.461296256689678e-06,7.859722338281048e-06,1.0165755692180797e-05
MED13L,8.406200769618338e-06,7.185312839875178e-06,-5.374356457097939e-07
INGX,8.26013080327752e-06,7.0054780437868396e-06,1.1814980288501128e-05
COL8A2,8.258421679656024e-06,6.877428134234397e-06,1.2171236725017309e-05
PRKCI,8.206490470234287e-06,6.156937263805235e-06,1.4013557888449933e-05
AKAP3,8.144225184920907e-06,6.409359873222569e-06,1.3059676901399527e-05
PPP1R13L,8.109629703155948e-06,-5.844223091579539e-06,-1.3915568137056726e-05
SF3A2,7.961394774715925e-06,4.0063728715558525e-06,-1.3083053066779766e-05
GFRA2,7.953502475718697e-06,7.589836159164762e-06,8.98389037262152e-06
COL12A1,7.946830927553304e-06,7.522785927833164e-06,9.148291760093698e-06
PDC,7.817801080620267e-06,6.56932671056899e-06,1.135514512909889e-05
PITPNM2,7.816983039716985e-06,6.756951498352378e-06,1.0820405740250039e-05
OFD1,7.813635734137001e-06,1.5301666332301795e-06,-1.3271752185437351e-05
RAB3B,7.769262633595084e-06,6.036898415185722e-06,1.267762791908828e-05
LCNL1,7.744705084689848e-06,7.768501508697769e-06,7.677281883334067e-06
TBC1D17,7.71634448153212e-06,-9.695854438463443e-07,-2.471907770613943e-05
HSPA4,7.685191906820269e-06,2.947406180227078e-06,-8.427153056755567e-06
CCL19,7.680848203955678e-06,6.504042723140421e-06,1.101513039959891e-05
ALDH3B2,7.655952414884765e-06,5.971916197900842e-06,1.242738836300588e-05
TGM5,7.6415693114486e-06,3.1740272176241853e-06,1.3181233317317743e-05
NFX1,7.5534735881116865e-06,1.2209324829083117e-06,-1.699530314594446e-05
CDH16,7.549181098654296e-06,7.3422833904389825e-06,1.8626039894139585e-06
CITED2,7.530761818953061e-06,3.1802756906398017e-06,4.051599555419571e-06
IGF1,7.519292293093833e-06,5.144803004969841e-06,1.4247011942778471e-05
HOXD3,7.463562099183545e-06,6.8056183607746246e-06,9.327736024675488e-06
ARHGEF2,7.458552155599195e-06,5.589449686508777e-07,-1.7433866392903022e-05
MAGEL2,7.372940083562455e-06,7.231514779696655e-06,7.77364511118223e-06
RGMA,7.296558356387811e-06,6.260301202047399e-06,1.0232620293685644e-05
DSCAM,7.288489285785444e-06,5.031347322335516e-06,1.3048316555967741e-05
ATP6V1G1,7.2234412995304545e-06,5.391099588739949e-06,-5.418507079665595e-06
WSB2,7.185279797665519e-06,6.628199709539741e-06,8.052393129267135e-06
PPP1CC,7.163224886504063e-06,4.220062223206726e-06,-2.0594002255829116e-06
ATG9B,7.139861009089511e-06,5.99254963315977e-06,1.0390576574223785e-05
ZBTB1,7.139333610981457e-06,5.531951076265868e-06,1.1095060132574067e-05
PRDM9,7.061200410156057e-06,5.801176191245896e-06,1.0631269030401511e-05
ARPP19,7.0208069824632846e-06,6.2455139334184785e-06,9.217470621423568e-06
POFUT2,7.010556237239869e-06,-4.24690207915576e-07,-1.7418751335410525e-05
CLDN8,6.987487431175188e-06,5.629032631251925e-06,1.0836442697624431e-05
FLJ16734,6.972948617974476e-06,5.545296872805519e-06,1.1017961895953186e-05
MTF2,6.968703196479842e-06,6.160933505942421e-06,3.0617362755406897e-06
SSH2,6.952103987368847e-06,5.311624089929054e-06,1.1600130363448263e-05
ALDOB,6.897082923928752e-06,6.933339448932057e-06,6.50375133120608e-06
OR2H2,6.887111982230744e-06,5.609092517288575e-06,1.0508167132900215e-05
LOC400768,6.859511313242694e-06,4.75885284829654e-06,1.2811376963923465e-05
HIST1H2BM,6.854316330000522e-06,-3.957724891662486e-06,-1.4383360112757277e-05
GAPDHS,6.840671023121094e-06,-6.038761502917334e-06,-9.112747997031742e-06
FOS,6.8289589931827854e-06,3.815071073167081e-06,1.2856808324344439e-05
LPCAT3,6.783605293789448e-06,2.2397535703581425e-06,-8.272948616400205e-06
SLC12A5,6.778955889576196e-06,5.466091591983009e-06,1.0498738066090227e-05
RAPGEF2,6.734161615420702e-06,-2.3763253042253225e-06,-7.946206891030615e-06
C21orf49,6.71036901438813e-06,5.852532559469412e-06,9.140905636657828e-06
INTS5,6.693511437575446e-06,-2.5438224535573283e-06,-1.6463307084129797e-05
SNORD114-3,6.689396834110903e-06,-5.321804644330169e-06,-1.0564241371822985e-05
RETNLB,6.673958710944123e-06,4.91573375469779e-06,1.1655596086975403e-05
PDK1,6.659320328428675e-06,4.200474078390206e-06,-1.305863520113541e-06
ALKBH5,6.613933554791261e-06,6.33084357345252e-06,7.416021835251026e-06
MLLT6,6.605530848604791e-06,5.69723160385613e-06,2.770447382794916e-06
NRXN1,6.598299585711683e-06,3.958734703806758e-06,1.1301550622972382e-05
GORASP1,6.534362324826362e-06,1.5947315143911072e-06,-9.911431588423337e-06
WDR5B,6.534266270348288e-06,1.3318351099203096e-07,-1.7632405241752386e-05
TIMM9,6.522407885487664e-06,9.562093149452637e-07,-1.3174865697125369e-05
C2orf16,6.511171215784319e-06,5.222634976665807e-06,1.0162023893286767e-05
CCDC85B,6.511134277306901e-06,6.21532095776872e-06,2.9970308799846823e-06
EGFR,6.509983605969555e-06,4.5420748232185395e-06,1.2085725157097432e-05
CYP2A6,6.490037218385362e-06,-5.168641228696768e-06,-1.0066090355585627e-05
LOC285556,6.4878634887493665e-06,5.822514807135089e-06,8.373018086656483e-06
NRK,6.47341364395943e-06,5.7831921940446185e-06,8.42904108538473e-06
BBS10,6.470236324140801e-06,-1.740093209768732e-06,-1.70930340511317e-05
PRELP,6.459238202466996e-06,4.953409284806778e-06,1.0725753469170951e-05
THBS2,6.4456638921535415e-06,4.190963036144516e-06,1.2833982984179113e-05
TBL1Y,6.425724521464068e-06,5.368508823886215e-06,9.421168997934657e-06
LCOR,6.379218313336192e-06,2.973582759429421e-06,-7.673774387834353e-06
ST8SIA4,6.352646328329464e-06,-1.0657864261618802e-07,-4.036176891974559e-06
PDE8B,6.351781245701566e-06,5.3375216073528556e-06,9.225516887689586e-06
LOC100130417,6.318870102214104e-06,6.151981969450146e-06,6.700247489777835e-06
ANP32A,6.302655985503551e-06,5.937621261626326e-06,5.0969835412151624e-06
C9orf84,6.266823837597874e-06,5.130536265742387e-06,9.486305291188412e-06
RNPEP,6.262526826810637e-06,6.292287919899723e-06,5.857683872317064e-06
PTHLH,6.260388975292505e-06,4.528386477272832e-06,1.116772938634825e-05
ZBTB24,6.25567512576169e-06,1.7535433955881992e-06,-1.1062337285646663e-05
SEMA6D,6.238396633454873e-06,5.521082517165614e-06,4.424603053733921e-06
NUP188,6.233038322003119e-06,5.75096636499812e-06,-3.077496282327641e-06
BNC1,6.223788620267157e-06,5.330065639977821e-06,8.756003731086944e-06
LYRM5,6.221696795317893e-06,-1.6017551410759647e-06,-1.2125856493062818e-05
SPO11,6.207303825851913e-06,5.243882641302032e-06,8.936997182076572e-06
TUT1,6.206769358291941e-06,2.3280317585522674e-06,-3.118637307755207e-06
GPSM3,6.195046651958027e-06,1.232811408426221e-06,-1.111444235127379e-05
PTMA,6.186870779811933e-06,5.980117960886395e-06,6.231097053940275e-06
OTX2,6.176170912311228e-06,5.4361218199610935e-06,8.272976673969945e-06
LOC400965,6.166702709668902e-06,5.274738453373805e-06,8.661942701596918e-06
IMPG2,6.164209309103481e-06,4.794914602635549e-06,1.004387764409596e-05
